Depth(m),Age(kaBP),Deuterium(‰SMOW),dTemp(ºC)
2856.15,498.157,-412.1,-3.83
2856.7,498.545,-412.7,-3.93
2857.25,498.934,-411.7,-3.77
2857.8,499.316,-411.3,-3.72
2858.35,499.694,-414.8,-4.3
2858.9,500.09,-414.5,-4.25
2859.45,500.482,-414.9,-4.31
2860,500.875,-415.5,-4.41
2860.55,501.269,-415.7,-4.45
2861.1,501.663,-417.9,-4.81
2861.65,502.067,-414,-4.16
2862.2,502.446,-415.6,-4.43
2862.75,502.832,-415.7,-4.45
2863.3,503.217,-415.2,-4.37
2863.85,503.596,-414.2,-4.21
2864.4,503.968,-415.7,-4.46
2864.95,504.346,-412.9,-4
2865.5,504.708,-415.3,-4.4
2866.05,505.08,-419.2,-5.04
2866.6,505.474,-420.9,-5.32
2867.15,505.875,-420.3,-5.21
2867.7,506.271,-418.5,-4.91
2868.25,506.654,-417.2,-4.7
2868.8,507.027,-416.8,-4.63
2869.35,507.396,-416.1,-4.52
2869.9,507.758,-416.3,-4.55
2870.45,508.12,-418.4,-4.9
2871,508.493,-425.1,-6
2871.55,508.902,-424.8,-5.94
2872.1,509.308,-423.6,-5.73
2872.65,509.704,-424,-5.78
2873.2,510.1,-422.7,-5.55
2873.75,510.487,-423.5,-5.67
2874.3,510.876,-424.1,-5.76
2874.85,511.267,-424.6,-5.83
2875.4,511.658,-424.9,-5.86
2875.95,512.049,-423.6,-5.63
2876.5,512.432,-423.1,-5.53
2877.05,512.809,-423,-5.49
2877.6,513.185,-423.9,-5.62
2878.15,513.563,-422.6,-5.38
2878.7,513.933,-419,-4.77
2879.25,514.282,-419.6,-4.84
2879.8,514.633,-420.7,-5
2880.35,514.989,-420.7,-4.98
2880.9,515.343,-417.7,-4.46
2881.45,515.681,-415.5,-4.08
2882,516.006,-415.2,-4.01
2882.55,516.329,-418.1,-4.48
2883.1,516.666,-417.2,-4.31
2883.65,516.998,-417.1,-4.28
2884.2,517.329,-412.5,-3.51
2884.75,517.637,-415.6,-4.01
2885.3,517.96,-412.3,-3.46
2885.85,518.267,-413.1,-3.59
2886.4,518.578,-412.4,-3.47
2886.95,518.885,-412.3,-3.45
2887.5,519.193,-411,-3.23
2888.05,519.495,-412.5,-3.48
2888.6,519.804,-412.1,-3.41
2889.15,520.111,-414.1,-3.75
2889.7,520.416,-412.3,-3.45
2890.25,520.726,-410.3,-3.12
2890.8,521.027,-415.2,-3.94
2891.35,521.353,-411.9,-3.4
2891.9,521.664,-412.3,-3.47
2892.45,521.978,-411.8,-3.4
2893,522.29,-412.8,-3.58
2893.55,522.61,-420.4,-4.84
2894.1,522.969,-418.6,-4.55
2894.65,523.321,-418.9,-4.61
2895.2,523.675,-417,-4.3
2895.75,524.022,-418.2,-4.51
2896.3,524.375,-416.8,-4.29
2896.85,524.728,-420.1,-4.84
2897.4,525.099,-417.1,-4.35
2897.95,525.452,-418.7,-4.64
2898.5,525.808,-420.4,-4.93
2899.05,526.184,-419.9,-4.86
2899.6,526.559,-419.6,-4.82
2900.15,526.935,-417.1,-4.42
2900.7,527.299,-419.8,-4.9
2901.25,527.683,-417.8,-4.58
2901.8,528.056,-416,-4.31
2902.35,528.422,-414.8,-4.14
2902.9,528.783,-416.5,-4.44
2903.45,529.157,-416.7,-4.5
2904,529.534,-420.7,-5.18
2904.55,529.939,-422.1,-5.43
2905.1,530.357,-425.9,-6.07
2905.65,530.804,-430,-6.75
2906.2,531.284,-433.5,-7.33
2906.75,531.795,-432.2,-7.12
2907.3,532.302,-435.8,-7.71
2907.85,532.841,-434.4,-7.48
2908.4,533.375,-435.8,-7.71
2908.95,533.926,-433,-7.24
2909.5,534.459,-432.7,-7.2
2910.05,534.994,-429.3,-6.64
2910.6,535.508,-431.4,-6.99
2911.15,536.044,-430,-6.76
2911.7,536.575,-430.3,-6.82
2912.25,537.113,-429.9,-6.76
2912.8,537.652,-428.1,-6.47
2913.35,538.194,-434.5,-7.53
2913.9,538.784,-435.9,-7.77
2914.45,539.391,-434.6,-7.56
2915,539.991,-434,-7.46
2915.55,540.589,-434.4,-7.55
2916.1,541.188,-433.7,-7.43
2916.65,541.788,-432.7,-7.28
2917.2,542.381,-431.6,-7.1
2917.75,542.964,-432.4,-7.24
2918.3,543.554,-433,-7.35
2918.85,544.149,-434.8,-7.64
2919.4,544.758,-437.8,-8.13
2919.95,545.367,-437.8,-8.12
2920.5,545.985,-438,-8.14
2921.05,546.604,-436.7,-7.91
2921.6,547.202,-432.3,-7.17
2922.15,547.746,-430.3,-6.82
2922.7,548.28,-432.5,-7.17
2923.25,548.818,-432.8,-7.2
2923.8,549.348,-430.5,-6.81
2924.35,549.855,-426.6,-6.14
2924.9,550.322,-421.9,-5.35
2925.45,550.761,-423.4,-5.58
2926,551.208,-427.7,-6.28
2926.55,551.673,-429,-6.48
2927.1,552.129,-431.9,-6.94
2927.65,552.607,-428.1,-6.29
2928.2,553.047,-427.8,-6.23
2928.75,553.481,-423,-5.42
2929.3,553.874,-420.9,-5.07
2929.85,554.25,-418.6,-4.68
2930.4,554.604,-417.6,-4.52
2930.95,554.948,-414.7,-4.04
2931.5,555.265,-410.5,-3.35
2932.05,555.563,-408.9,-3.09
2932.6,555.844,-409.8,-3.25
2933.15,556.126,-418.3,-4.67
2933.7,556.411,-415.5,-4.21
2934.25,556.719,-416.7,-4.41
2934.8,557.013,-420.7,-5.07
2935.35,557.308,-420,-4.95
2935.9,557.616,-422.7,-5.38
2936.45,557.911,-423.4,-5.49
2937,558.214,-424.5,-5.66
2937.55,558.514,-427.5,-6.15
2938.1,558.823,-431.9,-6.86
2938.65,559.133,-431.5,-6.77
2939.2,559.461,-429.9,-6.48
2939.75,559.778,-425.7,-5.75
2940.3,560.077,-424.2,-5.48
2940.85,560.352,-424,-5.43
2941.4,560.625,-422.8,-5.21
2941.95,560.89,-421.6,-5
2942.5,561.149,-419.6,-4.65
2943.05,561.404,-418.8,-4.49
2943.6,561.649,-419.8,-4.64
2944.15,561.889,-416.4,-4.07
2944.7,562.13,-416.1,-4
2945.25,562.357,-414.4,-3.7
2945.8,562.582,-414.2,-3.66
2946.35,562.799,-412.7,-3.4
2946.9,563.015,-412.4,-3.33
2947.45,563.225,-410.8,-3.06
2948,563.433,-411.8,-3.22
2948.55,563.636,-409.4,-2.81
2949.1,563.841,-409.8,-2.87
2949.65,564.039,-408.1,-2.59
2950.2,564.238,-407.5,-2.49
2950.75,564.432,-405.8,-2.21
2951.3,564.627,-408,-2.58
2951.85,564.815,-404.8,-2.05
2952.4,564.994,-404.9,-2.07
2952.95,565.179,-405.7,-2.21
2953.5,565.365,-406,-2.27
2954.05,565.554,-404.8,-2.08
2954.6,565.745,-402,-1.63
2955.15,565.933,-403.1,-1.82
2955.7,566.114,-403.1,-1.84
2956.25,566.298,-403.3,-1.89
2956.8,566.484,-402.7,-1.8
2957.35,566.671,-404,-2.02
2957.9,566.857,-400.4,-1.44
2958.45,567.047,-403,-1.87
2959,567.231,-400.2,-1.42
2959.55,567.42,-399,-1.22
2960.1,567.602,-401.7,-1.68
2960.65,567.781,-403.2,-1.93
2961.2,567.969,-400.2,-1.44
2961.75,568.161,-400.8,-1.54
2962.3,568.346,-399.8,-1.38
2962.85,568.532,-401.1,-1.59
2963.4,568.716,-400.6,-1.51
2963.95,568.905,-402.2,-1.77
2964.5,569.093,-400.5,-1.49
2965.05,569.285,-398.1,-1.09
2965.6,569.474,-400.4,-1.47
2966.15,569.656,-400.1,-1.42
2966.7,569.845,-401.4,-1.64
2967.25,570.034,-400.5,-1.48
2967.8,570.228,-400.6,-1.5
2968.35,570.419,-401.3,-1.61
2968.9,570.612,-400.5,-1.48
2969.45,570.807,-400.1,-1.42
2970,571.001,-400.5,-1.49
2970.55,571.194,-400.2,-1.45
2971.1,571.39,-399.8,-1.38
2971.65,571.585,-400.2,-1.44
2972.2,571.78,-401.8,-1.69
2972.75,571.977,-400.8,-1.51
2973.3,572.178,-402.6,-1.79
2973.85,572.378,-403.1,-1.86
2974.4,572.583,-400.6,-1.43
2974.95,572.79,-401.3,-1.53
2975.5,572.991,-400.1,-1.32
2976.05,573.193,-405.2,-2.15
2976.6,573.392,-402.1,-1.63
2977.15,573.608,-400.6,-1.35
2977.7,573.814,-400.4,-1.29
2978.25,574.016,-403.4,-1.76
2978.8,574.217,-400.9,-1.31
2979.35,574.428,-401.8,-1.41
2979.9,574.631,-400.9,-1.23
2980.45,574.837,-401.1,-1.22
2981,575.04,-402.2,-1.37
2981.55,575.244,-400,-0.99
2982.1,575.452,-400.9,-1.14
2982.65,575.654,-402.4,-1.42
2983.2,575.861,-403.2,-1.62
2983.75,576.076,-403.2,-1.73
2984.3,576.297,-402.4,-1.73
2984.85,576.523,-404.4,-2.11
2985.4,576.749,-403.4,-1.95
2985.95,576.981,-402.8,-1.83
2986.5,577.214,-403,-1.87
2987.05,577.447,-405.4,-2.27
2987.6,577.684,-403.4,-1.95
2988.15,577.932,-402.6,-1.83
2988.7,578.166,-401.8,-1.71
2989.25,578.402,-399.6,-1.36
2989.8,578.645,-396.8,-0.92
2990.35,578.883,-397.7,-1.08
2990.9,579.114,-397.7,-1.1
2991.45,579.352,-397.3,-1.06
2992,579.592,-397.8,-1.16
2992.55,579.836,-397.1,-1.07
2993.1,580.084,-399.3,-1.46
2993.65,580.335,-404.3,-2.31
2994.2,580.598,-408.6,-3.04
2994.75,580.878,-407.1,-2.81
2995.3,581.193,-410.9,-3.45
2995.85,581.507,-414.8,-4.1
2996.4,581.846,-415.5,-4.23
2996.95,582.213,-419,-4.81
2997.5,582.592,-424.5,-5.72
2998.05,582.999,-428.1,-6.31
2998.6,583.449,-432.5,-7.03
2999.15,583.928,-431.7,-6.89
2999.7,584.446,-425.8,-5.9
3000.25,584.984,-425,-5.75
3000.8,585.485,-427.2,-6.1
3001.35,585.99,-423.5,-5.49
3001.9,586.521,-429.8,-6.52
3002.45,587.034,-431.1,-6.73
3003,587.62,-427.5,-6.11
3003.55,588.205,-422,-5.18
3004.1,588.778,-418.7,-4.62
3004.65,589.314,-415.3,-4.05
3005.2,589.83,-411.9,-3.48
3005.75,590.337,-411.9,-3.47
3006.3,590.816,-421.1,-4.99
3006.85,591.301,-426.7,-5.92
3007.4,591.862,-425.4,-5.68
3007.95,592.474,-423.2,-5.3
3008.5,593.083,-422,-5.09
3009.05,593.666,-419.3,-4.63
