Depth ice/snow [m],Gas age [ka BP],δ18O-O2 [‰]
2657.02,372.5287,0.0037
2658.74,373.5417,0.0435
2659.83,374.1554,0.046
2660.87,374.7414,0.226
2662.03,375.3721,0.142
2664.23,376.5183,-0.0211
2664.72,376.7867,0.4904
2667.54,378.4319,0.409
2668.07,378.7352,0.351
2668.63,379.0497,0.336
2670.82,380.2045,0.2595
2671.94,380.7659,0.1975
2673.57,381.5844,0.211
2676.34,382.901,0.2175
2677.43,383.4059,0.245
2679.07,384.1871,0.292
2681.82,385.437,0.407
2685.14,387.0575,0.26
2686.23,387.5735,0.33
2687.32,388.0717,0.299
2689.54,389.1012,0.418
2690.07,389.3377,0.47
2692.82,390.821,0.4905
2693.94,391.5228,0.545
2693.95,391.5294,0.532
2695.57,392.541,0.51
2697.23,393.4555,0.683
2698.32,394.0362,0.663
2698.35,394.0517,0.6605
2702.74,396.081,0.658
2702.75,396.0851,0.653
2706.03,397.414,0.791
2707.14,397.8359,0.585
2707.15,397.8399,0.552
2708.23,398.2712,0.169
2711.55,399.5724,0.4115
2715.94,401.2965,0.252
2715.95,401.3003,0.2215
2719.23,402.5184,0.176
2720.34,402.893,0.1245
2720.35,402.8965,0.09
2721.43,403.2724,0.068
2723.63,403.9937,0.064
2724.74,404.356,-0.068
2724.75,404.3592,-0.03
2725.83,404.7162,0.028
2729.14,405.7922,-0.025
2729.15,405.7955,-0.0515
2732.43,406.9102,-0.398
2733.55,407.2978,-0.039
2736.83,408.4039,-0.271
2737.94,408.7912,0.021
2737.95,408.7947,0.017
2740.65,409.6992,0.111
2741.75,410.0665,0.0806
2742.3,410.2497,0.074
2742.35,410.2668,0.1045
2742.85,410.4376,0.0881
2743.43,410.6377,0.277
2743.95,410.8151,0.1108
2744.5,410.9964,0.1788
2745.6,411.3572,0.2062
2745.63,411.3673,0.087
2746.15,411.5419,0.2263
2746.74,411.74,0.223
2746.75,411.7434,0.236
2747.25,411.9151,0.2735
2747.8,412.1109,0.2632
2749.45,412.7177,0.3017
2750,412.9272,0.316
2750.55,413.1413,0.3275
2751.1,413.3582,0.3473
2751.14,413.374,0.4165
2751.15,413.3779,0.3415
2752.2,413.7866,0.3915
2752.75,414.0052,0.4017
2753.3,414.2393,0.4128
2754.4,414.7147,0.4821
2754.95,414.9532,0.5254
2755.5,415.1894,0.5265
2755.54,415.2056,0.483
2755.55,415.2097,0.496
2756.05,415.4126,0.5379
2757.7,416.0896,0.5951
2758.25,416.3158,0.6144
2758.8,416.5457,0.5875
2758.83,416.5577,0.622
2759.94,417.0014,0.587
2759.95,417.0054,0.607
2761,417.4258,0.5865
2761.03,417.4374,0.717
2762.65,418.0779,0.6852
2763.23,418.3138,0.698
2763.75,418.5175,0.6544
2764.3,418.7384,0.6393
2764.35,418.7583,0.6295
2765.4,419.1786,0.6246
2765.95,419.412,0.5752
2766.5,419.6532,0.5631
2768.74,420.6961,0.672
