# NOAA Paleoclimatology Program - Paleocean Site Data
# odp846l6-tab.txt
# Complete Data
# File Created: 31-Jan-2007
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Kira T. Lawrence
# Core/Site:      ODP846
# Latitude:       3.05.42S	( -3.095)
# Longitude:      90.49.06W	( -90.81833)
# Water Depth(m): 3296
#
# Publications:
#   Lawrence, K.T., Z. Liu and T.D. Herbert. 2006. Evolution of the Eastern Tropical
#     Pacific Through Plio-Pleistocene Glaciation. Science, 312, 79-83.
#------------------
#
# Description & Notes:
#   Eastern Equatorial Pacific 5 Myr Alkenone SST and Paleoproductivity Reconstruction ( ODP846 )
#   
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             c37nmol       C37 alkenone abundance (nmol/g)
#             sst-uk37      Sea Surface Temperature from Uk'37
#
# CORE: ODP846
depth	yrBP 	c37nmol	sst-uk37	notes
17274	4514593	5.74	25.7	846D 16H-6 93-94
17285	4519127	8.05	25.4	846D 16H-6 103-104
17297	4523259	7.98	25.3	846D 16H-6 113-114
17308	4526547	8.11	25	846D 16H-6 123-124
17317	4528981	8.73	24.9	846D 16H-6 133-134
17324	4530782	1.63	25.1	846D 16H-6 143-144
17334	4533074	8.23	24.6	846C 16H-6 3-4
17344	4535328	8.49	24.8	846C 16H-6 13-14
17354	4538012	6.25	25	846C 16H-6 23-24
17364	4540796	4.8	25.4	846C 16H-6 33-34
17365	4541074	4.77	26.2	846D 16H-7 33-34
17374	4543579	5.01	25.7	846C 16H-6 43-44
17378	4544693	8.39	25.9	846D 16H-7 43-44
17384	4546370	7.03	26.1	846C 16H-6 53-54
17393	4548880	7.98	25.9	846C 16H-6 63-64
17398	4550274	9.24	25.9	846D 16H-7 63-64
17401	4551110	10.18	26	846C 16H-6 73-74
17408	4553058	3.82	26.3	846D 16H-7 73-74
17409	4553335	7.25	26.1	846C 16H-6 83-84
17419	4556122	3.7	26.3	846C 16H-6 93-94
17434	4560234	3.72	26.2	846C 16H-6 103-104
17435	4560507	4.095	26.2	846D 17H-1 3-4
17436	4560780	4.43	26.2	846C 16H-6 113-114
17444	4562908	3.42	26.4	846C 16H-6 123-124
17445	4563174	4.455	26.2	846D 17H-1 13-14
17453	4564949	5.87	26.2	846C 16H-6 133-134
17455	4565380	3.855	26.2	846D 17H-1 23-24
17462	4566874	7.04	26.2	846C 16H-6 143-144
17465	4567514	5.325	26.2	846D 17H-1 33-34
17471	4568794	9.16	25.9	846C 16H-7 3-4
17475	4569647	8.835	25.9	846D 17H-1 43-44
17480	4570714	6.66	25.9	846C 16H-7 13-14
17485	4571780	10.875	25.7	846D 17H-1 53-54
17486	4571994	11.17	25.6	846C 16H-7 23-24
17495	4573820	12.795	25.7	846D 17H-1 63-64
17496	4574020	14.45	25.7	846C 16H-7 33-34
17505	4575820	11.67	25.8	846D 17H-1 73-74
17510	4576820	10.22	25.9	846C 16H-7 43-44
17513	4577420	6.27	26	846D 17H-1 83-84
17520	4578820	3.39	26.4	846D 17H-1 93-94
17529	4580465	3.105	26.5	846D 17H-1 103-104
17541	4582595	3.885	26.5	846D 17H-1 113-114
17557	4585444	4.5	26.2	846D 17H-1 123-124
17570	4587755	4.38	26.3	846D 17H-1 133-134
17580	4589470	5.13	26.1	846D 17H-1 143-144
17588	4590853	3.375	26.4	846D 17H-2 3-4
17599	4592771	3.24	26.5	846D 17H-2 13-14
17617	4595911	2.55	26.7	846D 17H-2 23-24
17635	4599051	3.105	26.6	846D 17H-2 33-34
17652	4601553	2.565	26.6	846D 17H-2 43-44
17663	4603010	2.64	26.7	846D 17H-2 53-54
17674	4604440	2.97	26.7	846D 17H-2 63-64
17685	4605870	3.615	26.7	846D 17H-2 73-74
17695	4607170	4.935	26.3	846D 17H-2 83-84
17704	4608340	4.86	25.8	846D 17H-2 93-94
17713	4609767	4.86	25.7	846D 17H-2 103-104
17723	4611572	6	25.6	846D 17H-2 113-114
17733	4613412	5.625	25.7	846D 17H-2 123-124
17742	4615134	4.815	26	846D 17H-2 133-134
17752	4617152	4.23	26	846D 17H-2 143-144
17762	4619200	4.17	26.1	846D 17H-3 3-4
17772	4621354	3.39	26.2	846D 17H-3 13-14
17783	4623566	5.025	26.2	846D 17H-3 23-24
17793	4625552	3.075	26.3	846D 17H-3 33-34
17803	4627534	2.805	26.3	846D 17H-3 43-44
17813	4629506	3.675	26.3	846D 17H-3 53-54
17823	4631484	3.915	26.1	846D 17H-3 63-64
17832	4633280	3.555	26.6	846D 17H-3 73-74
17842	4635368	4.95	26.3	846D 17H-3 83-84
17852	4637478	3.48	26.3	846D 17H-3 93-94
17862	4639596	3.705	26.2	846D 17H-3 103-104
17872	4641708	2.76	26.5	846D 17H-3 113-114
17882	4643818	2.595	26.5	846D 17H-3 123-124
17893	4646138	1.455	26.9	846D 17H-3 133-134
17903	4648248	2.745	26.8	846D 17H-3 143-144
17913	4650358	2.88	26.7	846D 17H-4 3-4
17924	4652687	2.835	26.1	846D 17H-4 13-14
17934	4654798	3.255	26.3	846D 17H-4 23-24
17944	4656908	3.585	26.4	846D 17H-4 33-34
17954	4659018	2.64	26.4	846D 17H-4 43-44
17962	4660730	2.985	26.2	846D 17H-4 53-54
17971	4662700	2.145	26.4	846D 17H-4 63-64
17980	4664680	2.355	26.4	846D 17H-4 73-74
17990	4666872	1.2	26.9	846D 17H-4 83-84
18002	4669510	1.095	26.7	846D 17H-4 93-94
18015	4672370	1.605	26.7	846D 17H-4 103-104
18032	4676119	1.785	26.2	846D 17H-4 113-114
18059	4682051	3.255	25.9	846D 17H-4 123-124
18083	4687330	3.75	25.8	846D 17H-4 133-134
18093	4689418	3.99	25.7	846D 17H-4 143-144
18098	4690448	3.63	25.8	846D 17H-5 3-4
18103	4691478	4.005	26	846D 17H-5 13-14
18109	4692710	4.26	25.9	846D 17H-5 23-24
18116	4694149	3.99	26	846D 17H-5 33-34
18126	4696040	3.93	26.1	846D 17H-5 43-44
18136	4697874	3.885	26.1	846D 17H-5 53-54
18145	4699524	4.56	26	846D 17H-5 63-64
18150	4700442	4.995	26	846D 17H-5 73-74
18156	4701544	4.71	25.9	846D 17H-5 83-84
18159	4702094	3.975	26.2	846D 17H-5 93-94
18164	4703012	3.33	26.3	846D 17H-5 103-104
18169	4703926	3.255	26.3	846D 17H-5 113-114
18184	4706674	3.39	26.4	846D 17H-5 123-124
18217	4712291	3.165	26.2	846D 17H-5 133-134
18232	4714771	3.09	26.7	846D 17H-5 143-144
18241	4716259	3.255	26.7	846D 17H-6 3-4
18249	4717573	4.38	26.4	846D 17H-6 13-14
18258	4719044	3.87	26.6	846D 17H-6 23-24
18273	4721468	4.065	26.7	846D 17H-6 33-34
18286	4723559	2.13	26.8	846D 17H-6 43-44
18295	4725016	2.775	26.6	846D 17H-6 53-54
18302	4726147	3	26.2	846D 17H-6 63-64
18306	4726790	3.375	26.5	846D 17H-6 73-74
18312	4727757	4.725	26	846D 17H-6 83-84
18318	4728727	5.355	26	846D 17H-6 93-94
18332	4730979	6.075	25.9	846D 17H-6 103-104
18359	4735328	5.67	26	846D 17H-6 113-114
18370	4737254	3.36	26.1	846D 17H-6 123-124
18377	4738503	3.3	26.3	846D 17H-6 133-134
18382	4739400	3.315	26.7	846D 17H-6 143-144
18388	4740474	3.495	26.7	846D 17H-7 3-4
18399	4742450	3.9	26.7	846C 17H-6 53-54
18400	4742630	4.5	26.8	846D 17H-7 13-14
18410	4744420	3.525	26.7	846C 17H-6 63-64
18422	4746764	3.345	26.7	846D 17H-7 23-24
18433	4748936	2.475	26.8	846D 17H-7 33-34
18435	4749330	3.09	26.8	846C 17H-6 83-84
18439	4750125	3.765	26.6	846D 17H-7 43-44
18444	4751114	3.765	26.7	846D 17H-7 53-54
18445	4751312	2.595	27.1	846D 17H-7 63-64
18446	4751510	4.185	26.6	846C 17H-6 93-94
18456	4753618	2.355	26.8	846C 17H-6 103-104
18465	4755518	2.4	27	846C 17H-6 113-114
18473	4757200	2.565	26.8	846C 17H-6 123-124
18481	4758888	1.98	26.9	846C 17H-6 133-134
18488	4760367	2.16	27.1	846C 17H-6 143-144
18498	4762478	2.85	26.9	846C 17H-7 3-4
18508	4764588	4.545	26.7	846C 17H-7 13-14
18520	4767127	4.905	26.5	846C 17H-7 23-24
18530	4769239	7.17	26.2	846C 17H-7 33-34
18540	4771349	10.425	26.1	846C 17H-7 43-44
18566	4776832	12.27	26.3	846D 18X-1 3-4
18576	4778940	13.8	26.2	846D 18X-1 13-14
18586	4781049	8.865	26.4	846D 18X-1 23-24
18596	4783018	5.175	26.4	846D 18X-1 33-34
18606	4784953	6.585	26.3	846D 18X-1 43-44
18616	4786988	8.265	26.3	846D 18X-1 53-54
18626	4789280	6.735	26.1	846D 18X-1 63-64
18635	4791391	5.025	26.3	846D 18X-1 73-74
18644	4793494	5.535	26.4	846D 18X-1 83-84
18650	4794900	3.615	26.3	846D 18X-1 93-94
18658	4796953	3.645	26.5	846D 18X-1 103-104
18667	4799534	3.63	26.5	846D 18X-1 113-114
18679	4803045	4.14	26.5	846D 18X-1 123-124
18695	4807734	3.06	25.9	846D 18X-1 133-134
18713	4813014	4.74	25.6	846D 18X-1 143-144
18723	4815848	4.32	25.6	846D 18X-2 3-4
18730	4817717	4.575	25.7	846D 18X-2 13-14
18734	4818765	4.995	25.7	846D 18X-2 23-24
18739	4820076	3.795	25.8	846D 18X-2 33-34
18742	4820864	3.6	25.9	846D 18X-2 43-44
18746	4821915	2.85	26.1	846D 18X-2 53-54
18750	4822965	3.345	26.1	846D 18X-2 63-64
18755	4824270	2.34	26.5	846D 18X-2 73-74
18763	4826043	2.22	26.6	846D 18X-2 83-84
18780	4829610	2.46	26.4	846D 18X-2 93-94
18790	4831926	3.54	26.3	846D 18X-2 103-104
18832	4841876	3.645	26.4	846D 18X-2 113-114
18839	4843665	3.435	26.1	846D 18X-2 123-124
18845	4845237	4.26	25.9	846D 18X-2 133-134
18851	4846814	4.875	25.4	846D 18X-2 143-144
18856	4848126	7.32	25.2	846D 18X-3 3-4
18863	4849957	6.75	25.1	846D 18X-3 13-14
18874	4852869	7.5	25.2	846D 18X-3 23-24
18890	4857311	6.33	25.5	846D 18X-3 33-34
18901	4860488	5.655	25.6	846D 18X-3 43-44
18908	4862292	6.645	25.6	846D 18X-3 53-54
18911	4863004	3.555	25.9	846C 18H-2 43-44
18915	4863905	4.68	25.9	846D 18X-3 63-64
18917	4864360	3.63	26	846D 18X-3 73-74
18920	4865108	3.96	25.8	846D 18X-3 93-94
18922	4865604	3.78	25.9	846D 18X-3 83-84
18923	4865852	4.305	25.9	846C 18H-2 53-54
18930	4867593	2.82	26	846D 18X-3 103-104
18935	4868834	3.78	25.9	846C 18H-2 63-64
18940	4870074	2.31	26.1	846D 18X-3 113-114
18945	4871314	2.385	26.1	846C 18H-2 73-74
18950	4872554	2.535	26.2	846D 18X-3 123-124
18953	4873297	2.61	26	846C 18H-2 83-84
18960	4875033	2.175	26.2	846D 18X-3 133-134
18962	4875530	2.115	26.2	846C 18H-2 93-94
18971	4877765	3.255	26	846C 18H-2 103-104
18982	4880617	2.565	26.4	846C 18H-2 113-114
18993	4883578	2.865	26.4	846C 18H-2 123-124
19004	4886567	3.27	26.2	846C 18H-2 133-134
19014	4889286	4.935	25.6	846C 18H-2 143-144
19024	4891622	5.055	25.5	846C 18H-3 3-4
19033	4893968	6.165	24.6	846C 18H-3 13-14
19044	4896883	7.68	24.8	846C 18H-3 23-24
19054	4898962	8.07	24.8	846C 18H-3 33-34
19065	4900905	7.695	24.8	846C 18H-3 43-44
19075	4902626	7.965	24.9	846C 18H-3 53-54
19083	4904005	9.645	25.2	846C 18H-3 63-64
19092	4905556	9.585	25.5	846C 18H-3 73-74
19102	4907284	8.16	25.6	846C 18H-3 83-84
19112	4909014	7.56	25.7	846C 18H-3 93-94
19122	4910744	6.465	25.9	846C 18H-3 103-104
19133	4912645	6.255	25.9	846C 18H-3 113-114
19143	4914366	5.37	25.9	846C 18H-3 123-124
19153	4916094	4.23	26	846C 18H-3 133-134
19162	4917646	4.44	26	846C 18H-3 143-144
19173	4919545	3.975	25.9	846C 18H-4 3-4
19183	4921266	3.18	25.8	846C 18H-4 13-14
19194	4923165	3.78	25.6	846C 18H-4 23-24
19203	4924716	3.57	25.9	846C 18H-4 33-34
19213	4926444	2.895	25.9	846C 18H-4 43-44
19222	4928128	2.775	26.2	846C 18H-4 53-54
19232	4930078	3.405	26.1	846C 18H-4 63-64
19242	4932038	4.905	26.1	846C 18H-4 73-74
19253	4934198	5.01	25.9	846C 18H-4 83-84
19265	4936549	6.3	25.8	846C 18H-4 93-94
19275	4938508	4.875	25.7	846C 18H-4 103-104
19284	4940269	4.23	25.6	846C 18H-4 113-114
19293	4942029	4.605	25.8	846C 18H-4 123-124
19302	4943836	3.66	25.9	846C 18H-4 133-134
19312	4946312	3.69	26.1	846C 18H-4 143-144
19322	4949319	3.465	26.1	846C 18H-5 3-4
19333	4952988	3.225	26.4	846C 18H-5 13-14
19343	4956662	3.765	26.4	846C 18H-5 23-24
19352	4960195	4.35	26.5	846C 18H-5 33-34
19362	4964174	3.585	26.5	846C 18H-5 43-44
19373	4968554	2.94	26.7	846C 18H-5 53-54
19385	4973334	2.325	26.7	846C 18H-5 63-64
19396	4977272	2.97	26.5	846C 18H-5 73-74
19402	4979375	3.075	26.2	846B 19H-2 23-24
19405	4980428	3.3	26.2	846C 18H-5 83-84
19411	4982530	3.705	26.2	846C 18H-5 93-94
19412	4982880	3.42	26.2	846B 19H-2 33-34
19422	4986388	3.795	26.3	846C 18H-5 103-104
19432	4989896	3.51	26.3	846B 19H-2 53-54
19435	4990949	4.545	26.3	846C 18H-5 113-114
19442	4993339	4.11	26.4	846B 19H-2 63-64
19452	4996717	6.105	26.6	846B 19H-2 73-74
19453	4997055	6.69	26.8	846C 18H-5 143-144
19458	4998702	4.35	26.5	846C 18H-5 123-124
19462	4999995	6.225	26.6	846B 19H-2 83-84
19472	5003232	6.24	26.8	846B 19H-2 93-94
19483	5006790	4.95	26.4	846B 19H-2 103-104
19485	5007437	5.25	26.5	846C 18H-5 133-134
19494	5010356	3.87	26.1	846B 19H-2 113-114
19504	5013920	4.515	26.4	846B 19H-2 123-124
19513	5017196	3.03	26.4	846B 19H-2 133-134
19523	5020989	2.715	26.5	846B 19H-2 143-144
19533	5025024	3.18	26.5	846B 19H-3 3-4
19543	5029300	3.315	26.4	846B 19H-3 13-14
19553	5033600	3.195	26.4	846B 19H-3 23-24
19563	5037900	2.565	26.6	846B 19H-3 33-34
19573	5042194	3.48	26.4	846B 19H-3 43-44
19583	5046250	4.53	26.2	846B 19H-3 53-54
19593	5050110	5.355	26	846B 19H-3 63-64
19603	5053960	6.375	26	846B 19H-3 73-74
19613	5057802	7.035	26.1	846B 19H-3 83-84
19623	5061650	6.075	26.2	846B 19H-3 93-94
19633	5065496	6.645	26.3	846B 19H-3 103-104
19643	5069345	5.895	26.4	846B 19H-3 113-114
19653	5073191	3.69	26.7	846B 19H-3 123-124
19663	5077032	2.49	26.5	846B 19H-3 133-134
19673	5080880	2.19	26.9	846B 19H-3 143-144
19683	5085154	2.61	26.6	846B 19H-4 3-4
19693	5089803	2.31	26.5	846B 19H-4 13-14
