Hole	"core,section"	top(cm)	composite_depth	age_(ka)	benthic d18O	Uk'37	SST
1020D	4H-3	17	35.09	313.90625	3.775	-999	-999
1020C	4H-7	17	35.1	314	3.73	-999	-999
1020D	4H-3	24	35.16	314.5625	-999	0.4	10.62
1020C	4H-7	37	35.3	315.875	3.72	-999	-999
1020D	4H-3	50	35.42	317	-999	0.332	8.613
1020D	4H-3	57	35.49	318.0542169	3.95	-999	-999
1020C	4H-7	57	35.5	318.2048193	3.73	-999	-999
1020D	4H-3	74	35.66	320.6144578	-999	0.39	10.323
1020D	4H-3	77	35.69	321.0662651	3.74	-999	-999
1020C	4H-7	77	35.7	321.2168675	3.69	-999	-999
1020D	4H-3	97	35.89	324.0783133	3.58	-999	-999
1020D	4H-3	100	35.92	324.5301205	-999	0.428	11.437
1020D	4H-3	117	36.09	327.0903615	3.38	-999	-999
1020D	4H-3	124	36.16	328.1445783	-999	0.459	12.365
1020D	4H-3	137	36.29	329.9637168	3.31	-999	-999
1020D	4H-3	141	36.33	330.4274336	-999	0.465	12.54
1020D	4H-4	0	36.42	331.4707965	-999	0.473	12.758
1020D	4H-4	7	36.49	332.2823009	3.2	-999	-999
1020D	4H-4	24	36.66	334.2530974	-999	0.4	10.609
1020D	4H-4	27	36.69	334.600885	3.54	-999	-999
1020D	4H-4	47	36.89	336.919469	4.45	-999	-999
1020C	5H-1	50	36.91	337.1513274	-999	0.272	7.856
1020D	4H-4	50	36.92	337.2672566	-999	0.308	7.922
1020C	5H-1	57	36.98	337.9628319	4.55	-999	-999
1020D	4H-4	67	37.09	339.2380531	4.68	-999	-999
1020C	5H-1	75	37.16	340.0495575	-999	0.19	6.867
1020D	4H-4	87	37.29	341.5566372	4.59	-999	-999
1020C	5H-1	97	37.38	342.6	4.805	-999	-999
1020C	5H-1	100	37.41	342.822449	-999	0.23	7.448
1020C	5H-1	117	37.58	344.0829932	4.8	-999	-999
1020C	5H-1	125	37.66	344.6761905	-999	0.255	7.773
1020C	5H-2	0	37.91	346.529932	-999	0.237	7.595
1020C	5H-2	7	37.98	347.0489796	4.66	-999	-999
1020C	5H-2	25	38.16	348.3836735	-999	0.29	8.545
1020C	5H-2	27	38.18	348.5319728	4.515	-999	-999
1020C	5H-2	50	38.41	350.237415	-999	0.187	6.155
1020C	5H-2	67	38.58	351.4979592	4.46	-999	-999
1020C	5H-2	75	38.66	352.0911565	-999	0.115	5.834
1020C	5H-2	87	38.78	352.9809524	4.51	-999	-999
1020C	5H-2	100	38.91	354.1155844	-999	0.08	5.044
1020C	5H-2	125	39.16	356.6805195	-999	0.168	5.586
1020C	5H-2	127	39.18	356.8857143	4.53	-999	-999
1020C	5H-2	147	39.38	358.9376623	4.43	-999	-999
1020C	5H-3	0	39.41	359.2454546	-999	0.127	5.476
1020C	5H-3	25	39.66	361.8103896	-999	0.142	5.757
1020C	5H-3	37	39.78	363.0415584	4.31	-999	-999
1020C	5H-3	50	39.91	364.3753247	-999	0.167	6.567
1020C	5H-3	57	39.98	365.0935065	4.35	-999	-999
1020C	5H-3	75	40.16	366.9402597	-999	0.166	6.44
1020C	5H-3	97	40.38	369.1974026	4.3	-999	-999
1020C	5H-3	100	40.41	369.5051948	-999	0.219	7.493
1020C	5H-3	117	40.58	371.2493507	4.34	-999	-999
1020C	5H-3	125	40.66	372.0701299	-999	0.256	7.282
1020C	5H-4	0	40.91	374.6350649	-999	0.257	8.029
1020C	5H-4	7	40.98	375.3532468	4.18	-999	-999
1020C	5H-4	25	41.16	377.2	-999	0.264	6.616
1020C	5H-4	27	41.18	377.4051948	4.1	-999	-999
1020C	5H-4	50	41.41	379.7649351	-999	0.312	8.043
1020C	5H-4	67	41.58	381.5090909	4.16	-999	-999
1020C	5H-4	75	41.66	382.3298701	-999	0.316	8.145
1020C	5H-4	87	41.78	383.561039	4.02	-999	-999
1020C	5H-4	100	41.91	384.8948052	-999	0.29	7.38
1020C	5H-4	125	42.16	387.4597403	-999	0.313	8.048
1020C	5H-4	127	42.18	387.6649351	4.21	-999	-999
1020C	5H-5	0	42.41	390.0246753	-999	0.307	7.879
1020C	5H-5	25	42.66	392.5896104	-999	0.369	9.707
1020C	5H-5	37	42.78	393.8	4.57	-999	-999
1020C	5H-5	50	42.91	395.1	-999	0.403	10.696
1020C	5H-5	57	42.98	395.8	3.85	-999	-999
1020C	5H-5	75	43.16	397.6	-999	0.472	12.746
1020C	5H-5	97	43.38	399.8	3.25	-999	-999
1020C	5H-5	100	43.41	400.1	-999	0.514	13.983
1020C	5H-5	117	43.58	402.68	3.2	-999	-999
1020C	5H-5	125	43.66	404.36	-999	0.483	13.07
1020C	5H-6	0	43.91	409.61	-999	0.471	12.703
1020C	5H-6	7	43.98	411.08	3.28	-999	-999
1020C	5H-6	25	44.16	414.86	-999	0.471	12.693
1020C	5H-6	27	44.18	415.28	3.36	-999	-999
1020C	5H-6	50	44.41	420.11	-999	0.453	12.169
1020C	5H-6	67	44.58	422.5090909	4.105	-999	-999
1020C	5H-6	75	44.66	423.0181818	-999	0.361	9.468
1020C	5H-6	87	44.78	423.7818182	4.59	-999	-999
1020C	5H-6	100	44.91	424.6090909	-999	0.278	7.025
1020C	5H-6	125	45.16	426.2	-999	0.232	5.672
1020C	5H-6	127	45.18	426.3272727	5.005	-999	-999
1020D	5H-2	147	45.41	427.7909091	5.02	-999	-999
1020D	5H-3	17	45.61	429.1102362	5.045	-999	-999
1020D	5H-3	25	45.68	429.8818898	-999	0.272	6.85
1020D	5H-3	37	45.81	431.3149606	5.12	-999	-999
1020D	5H-3	50	45.93	432.6377953	-999	0.221	5.357
1020C	5H-3	57	45.98	433.1889764	4.94	-999	-999
1020D	5H-3	57	46.01	433.519685	4.83	-999	-999
1020D	5H-3	74	46.18	435.3937008	-999	0.226	5.504
1020D	5H-3	77	46.21	435.7244095	4.98	-999	-999
