Hole			rmcd	rmcd(7/12/01)		age			
1012B	3H-6	25	26.38	26.38	3.49	322.25	0.659	18.2	29.92
1012B	3H-6	35	26.48	26.48	3.45	323.5	0.663	18.3	22.01
1012B	3H-6	45	26.58	26.58	-999	324.75	0.683	18.9	15.17
1012B	3H-6	55	26.68	26.68	3.14	326	0.672	18.6	15.05
1012B	3H-6	65	26.78	26.78	3.4	327.25	0.681	18.9	12.99
1012B	3H-6	75	26.88	26.88	3.25	328.5	0.684	19	9.62
1012B	3H-6	85	26.98	26.98	3.35	329.75	0.681	18.9	9.84
1012B	3H-6	95	27.08	27.08	3.28	331	0.683	18.9	7.48
1012B	3H-6	105	27.18	27.18	3.23	332.26	0.674	18.7	7.33
1012B	3H-6	115	27.28	27.28	3.24	333.51	0.705	19.6	7.5
1012B	3H-6	125	27.38	27.38	3.74	334.77	0.739	20.6	27.75
1012B	3H-6	135	27.48	27.48	4.12	336.02	0.697	19.4	4.68
1012B	3H-6	145	27.58	27.58	4.36	337.28	0.565	15.5	11.18
1012B	3H-7	4	27.68	27.68	4.52	338.54	0.563	15.4	10.68
1012B	3H-7	15	27.78	27.78	4.62	339.79	0.546	14.9	13.32
1012B	3H-7	25	27.88	27.88	4.52	340.94	0.539	14.7	14.07
1012B	3H-7	35	27.98	27.98	4.56	342.06	0.527	14.3	13.64
1012B	3H-7	45	28.08	28.08	4.44	343.19	0.558	15.3	13.42
1012A	4H-2	95	28.1	28.1	4.62	343.41	0.515	14	15.08
1012B	3H-7	55	28.18	28.18	4.33	344.31	0.522	14.2	15.48
1012A	4H-2	105	28.2	28.2	4.57	344.54	0.514	14	15.36
1012A	4H-2	115	28.3	28.3	4.38	345.66	0.504	13.7	15.06
1012A	4H-2	125	28.4	28.4	4.36	346.79	0.495	13.4	14.53
1012A	4H-2	135	28.5	28.5	4.03	347.92	0.451	12.1	12.34
1012A	4H-2	145	28.6	28.6	4.31	349.07	0.451	12.1	11.36
1012A	4H-3	4	28.7	28.7	4.39	350.85	0.474	12.8	9.46
1012A	4H-3	15	28.8	28.8	4.53	352.63	0.469	12.6	9.53
1012A	4H-3	25	28.9	28.9	4.39	354.41	0.441	11.8	13.79
1012A	4H-3	35	29	29	4.38	356.19	0.424	11.3	18.88	
1012A	4H-3	45	29.1	29.1	4.26	357.97	0.431	11.5	16.94	
1012A	4H-3	55	29.2	29.2	4.19	359.75	0.445	11.9	23.31	
1012A	4H-3	65	29.3	29.3	4.2	361.53	0.48	13	25.9	
1012B	4H-1	45	29.38	29.61	4.16	362.96	0.517	14.1	23.93	*added23cm
1012B	4H-1	55	29.48	29.71	-999	364.74	0.527	14.4	27.16	
1012A	4H-3	85	29.51	29.51	4.13	365.27	0.513	13.9	24.48	
1012B	4H-1	65	29.58	29.81	3.96	366.52	0.536	14.6	28.11	
