# Holocene and Last Interglacial Regional SST Stacks and Western Pacific Mg/Ca SST Data																					
#-----------------------------------------------------------------------																					
"#               World Data Service for Paleoclimatology, Boulder"																					
#                                   and																					
#                      NOAA Paleoclimatology Program																					
#-----------------------------------------------------------------------																					
# Template Version 3.0																					
# Encoding: UTF-8																					
"# NOTE: Please cite original publication, online resource and date accessed when using this data."																					
"# If there is no publication information, please cite Investigator, title, online resource and date accessed."																					
#																					
# Description/Documentation lines begin with #																					
# Data lines have no #																					
#																					
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/31752																					
#      Description: NOAA Landing Page																					
# Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/contributions_by_author/bova2020/bova2020-u1485-sst.txt																					
#      Description: NOAA location of the template																					
#																					
#																					
# Data_Type: Paleoceanography																					
#																					
# Dataset_DOI:																					
#																					
"# Parameter_Keywords: trace metals in carbonates, age control, geochemistry"																					
2.21	3.142	5.21	31.74	0.84	30.16	0.53	0.69	0.15	0.47	0.15	30.95	31.25	30.65								
2.31	3.303	4.77	30.41	-0.48	29.17	-0.45	-0.47	0.02	-0.7	0.02	29.79	29.83	29.75								
2.41	3.462	4.83	30.55	-0.35	29.3	-0.33	-0.34	0.01	-0.58	0.02	29.92	29.94	29.9								
2.51	3.601	4.94	30.91	0.02	29.57	-0.06	-0.02	0.04	-0.28	0.04	30.24	30.32	30.16								
2.61	3.769	5.02	31.21	0.31	29.73	0.1	0.21	0.1	-0.07	0.11	30.47	30.67	30.27								
2.71	3.931	4.91	30.77	-0.13	29.49	-0.14	-0.13	0.01	-0.43	0.02	30.13	30.15	30.11								
2.81	4.092	5.19	31.71	0.81	30.1	0.48	0.65	0.17	0.33	0.17	30.91	31.25	30.57								
2.91	4.258	5.24	31.88	0.99	30.22	0.59	0.79	0.2	0.46	0.2	31.05	31.45	30.65								
3.01	4.429	5.18	31.69	0.8	30.08	0.46	0.63	0.17	0.28	0.17	30.89	31.23	30.55								
3.11	4.611	4.86	30.74	-0.16	29.37	-0.25	-0.2	0.05	-0.57	0.05	30.06	30.16	29.96								
3.21	4.773	4.85	30.69	-0.21	29.35	-0.28	-0.24	0.03	-0.63	0.04	30.02	30.08	29.96								
3.41	5.088	5.16	31.7	0.8	30.05	0.43	0.62	0.19	0.2	0.19	30.88	31.26	30.5								
3.73	5.761	5.19	31.81	0.92	30.11	0.49	0.7	0.22	0.22	0.22	30.96	31.4	30.52								
3.81	5.906	5.4	32.45	1.56	30.54	0.91	1.24	0.32	0.74	0.32	31.5	32.14	30.86								
3.89	6.045	4.86	30.8	-0.1	29.38	-0.24	-0.17	0.07	-0.69	0.08	30.09	30.23	29.95								
4.21	6.637	4.92	31.02	0.13	29.51	-0.12	0	0.12	-0.56	0.12	30.26	30.5	30.02								
4.41	7.016	5.11	31.7	0.81	29.94	0.32	0.56	0.24	-0.03	0.24	30.82	31.3	30.34								
4.51	7.192	4.91	30.98	0.09	29.49	-0.13	-0.02	0.11	-0.62	0.11	30.24	30.46	30.02								
4.61	7.371	4.94	31.07	0.17	29.57	-0.06	0.06	0.12	-0.55	0.12	30.32	30.56	30.08								
4.71	7.524	4.86	30.86	-0.03	29.38	-0.25	-0.14	0.11	-0.76	0.11	30.12	30.34	29.9								
4.79	7.677	5.13	31.68	0.78	29.97	0.35	0.57	0.22	-0.06	0.22	30.83	31.27	30.39								
4.81	7.724	4.99	31.27	0.38	29.68	0.05	0.22	0.16	-0.41	0.16	30.48	30.8	30.16								
4.89	7.859	4.99	31.25	0.35	29.67	0.04	0.2	0.15	-0.44	0.16	30.46	30.76	30.16								
4.91	7.902	5.13	31.7	0.8	29.97	0.35	0.58	0.23	-0.06	0.23	30.84	31.3	30.38								
4.99	8.022	5.11	31.62	0.72	29.94	0.31	0.52	0.21	-0.13	0.21	30.78	31.2	30.36								
5.09	8.259	5.15	31.72	0.83	30.02	0.39	0.61	0.22	-0.04	0.22	30.87	31.31	30.43								
5.19	8.487	5.25	32.03	1.13	30.24	0.61	0.87	0.26	0.22	0.26	31.13	31.65	30.61								
5.31	8.672	4.95	31.05	0.15	29.59	-0.03	0.06	0.09	-0.6	0.09	30.32	30.5	30.14								
5.39	8.788	5.08	31.52	0.63	29.87	0.24	0.44	0.19	-0.22	0.19	30.7	31.08	30.32								
5.48	8.921	4.99	31.23	0.33	29.66	0.04	0.19	0.15	-0.47	0.15	30.45	30.75	30.15								
5.69	9.229	5	31.23	0.33	29.7	0.08	0.2	0.13	-0.45	0.13	30.46	30.72	30.2								
5.79	9.374	4.88	30.84	-0.05	29.41	-0.21	-0.13	0.08	-0.79	0.08	30.13	30.29	29.97								
5.89	9.537	5.06	31.43	0.53	29.83	0.21	0.37	0.16	-0.28	0.16	30.63	30.95	30.31								
5.99	9.672	5	31.2	0.3	29.7	0.07	0.19	0.12	-0.46	0.12	30.45	30.69	30.21								
6.09	9.828	4.75	30.38	-0.51	29.11	-0.51	-0.51	0	-1.16	0.01	29.75	29.75	29.75								
6.19	9.967	4.98	31.1	0.2	29.64	0.02	0.11	0.09	-0.53	0.09	30.37	30.55	30.19								
6.29	10.109	4.82	30.65	-0.25	29.3	-0.33	-0.29	0.04	-0.93	0.04	29.97	30.05	29.89								
6.39	10.272	4.98	31.14	0.24	29.66	0.03	0.14	0.11	-0.49	0.11	30.4	30.62	30.18								
6.49	10.411	5.04	31.27	0.38	29.78	0.15	0.27	0.11	-0.36	0.11	30.53	30.75	30.31								
6.59	10.547	4.95	30.98	0.08	29.58	-0.04	0.02	0.06	-0.59	0.06	30.28	30.4	30.16								
6.69	10.691	4.96	31.02	0.12	29.61	-0.01	0.06	0.07	-0.55	0.07	30.32	30.46	30.18								
6.79	10.843	4.9	30.84	-0.05	29.47	-0.15	-0.1	0.05	-0.71	0.05	30.16	30.26	30.06								
6.89	11.002	4.84	30.62	-0.28	29.33	-0.29	-0.28	0.01	-0.88	0.01	29.98	30	29.96								
7.01	11.247	4.66	30.07	-0.82	28.91	-0.72	-0.77	0.05	-1.35	0.05	29.49	29.59	29.39								
7.09	11.455	4.44	29.22	-1.68	28.38	-1.24	-1.46	0.22	-2.02	0.22	28.8	29.24	28.36								
7.19	11.618	4.45	29.31	-1.59	28.41	-1.22	-1.4	0.18	-1.95	0.18	28.86	29.22	28.5								
