# NOAA Paleoclimatology Program - Paleocean Site Data
# odp982-l-tab.txt
# Complete Data
# File Created: 02-Feb-2010
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Kira T. Lawrence
# Core/Site:      ODP982
# Latitude:       57.30.05N	( 57.50139)
# Longitude:      15.52.03W	( -15.8675)
# Water Depth(m): 1145
#
# Publications:
#   Lawrence, K.T., T.D. Herbert, C.M. Brown, M.E. Raymo, and A.M. Haywood. 2009.
#     High-amplitude variations in North Atlantic sea surface temperature during the
#     early Pliocene warm period. Paleoceanography, 24, PA2218.
#------------------
#
# Description & Notes:
#   North Atlantic ODP982 Pliocene Alkenone SST Reconstruction
#   
#
# Variables:
#             depth         Depth (cm)
#             calyrBP       calendar years B.P. (B.P. = 1950)
#             sst-uk37.p    Sea Surface Temperature from Uk'37 (Prahl et al '88)
#             uk37          Alkenone saturation index
#
# CORE: ODP982
depth	calyrBP 	sst-uk37.p	uk37	notes
3128	1335762	14.33	0.53	982B 4H-3 70-72
3133	1338832	14.16	0.52	982B 4H-3 75-77
3138	1341908	13.98	0.51	982B 4H-3 80-82
3143	1344988	13.07	0.48	982B 4H-3 85-87
3148	1348062	13.3	0.49	982B 4H-3 90-92
3153	1351138	13.91	0.51	982B 4H-3 95-97
3158	1354218	14.9	0.55	982B 4H-3 100-102
3163	1357286	15.68	0.57	982B 4H-3 105-107
3168	1360358	15.62	0.57	982B 4H-3 110-112
3173	1363438	15.63	0.57	982B 4H-3 115-117
3178	1366518	14.05	0.52	982B 4H-3 120-122
3183	1369592	15.06	0.55	982B 4H-3 125-127
3188	1372668	13.18	0.49	982B 4H-3 130-132
3193	1375742	11.8	0.44	982B 4H-3 135-137
3198	1378812	10.9	0.41	982B 4H-3 140-142
3203	1381888	12.17	0.45	982B 4H-3 145-147
3208	1384968	11.6	0.43	982B 4H-4 0-2
3213	1388042	12.21	0.45	982B 4H-4 5-7
3218	1391112	12.91	0.48	982B 4H-4 10-12
3223	1394188	13.34	0.49	982B 4H-4 15-17
3228	1397268	14.87	0.54	982B 4H-4 20-22
3233	1400282	14.91	0.55	982B 4H-4 25-27
3238	1403198	13.06	0.48	982B 4H-4 30-32
3243	1405805	12.84	0.48	982B 4H-4 35-37
3248	1408230	14.29	0.52	982B 4H-4 40-42
3253	1410592	13.45	0.5	982B 4H-4 45-47
3258	1412732	16.4	0.6	982B 4H-4 50-52
3263	1414650	14.2	0.52	982B 4H-4 55-57
3268	1416488	11.92	0.44	982B 4H-4 60-62
3273	1418258	10.97	0.41	982B 4H-4 65-67
3278	1419970	11.41	0.43	982B 4H-4 70-72
3283	1421574	13.3	0.49	982B 4H-4 75-77
3288	1423054	13.76	0.51	982B 4H-4 80-82
3293	1424458	14.35	0.53	982B 4H-4 85-87
3298	1425838	13.44	0.5	982B 4H-4 90-92
3303	1427224	13.65	0.5	982B 4H-4 95-97
3308	1428608	13.82	0.51	982B 4H-4 100-102
3313	1429988	13.68	0.5	982B 4H-4 105-107
3318	1431368	13.72	0.51	982B 4H-4 110-112
3323	1432754	13.53	0.5	982B 4H-4 115-117
3328	1434138	13.44	0.5	982B 4H-4 120-122
3333	1435524	13.86	0.51	982B 4H-4 125-127
3338	1436908	13.94	0.51	982B 4H-4 130-132
3343	1438288	13.81	0.51	982B 4H-4 135-137
3348	1439674	12.77	0.47	982B 4H-4 140-142
3353	1441058	13.72	0.51	982B 4H-4 145-147
3358	1442444	13.3	0.49	982B 4H-5 0-2
3363	1443828	13.08	0.48	982B 4H-5 5-7
3368	1445208	12.79	0.47	982B 4H-5 10-12
3373	1446624	13.3	0.49	982B 4H-5 15-17
3378	1448124	13.65	0.5	982B 4H-5 20-22
3383	1449760	13.56	0.5	982B 4H-5 25-27
3388	1451478	13.69	0.5	982B 4H-5 30-32
3393	1453634	13.59	0.5	982B 4H-5 35-37
3398	1456344	11.95	0.45	982B 4H-5 40-42
3403	1459276	12.07	0.45	982B 4H-5 45-47
3408	1462302	11.98	0.45	982B 4H-5 50-52
3413	1465588	12.93	0.48	982B 4H-5 55-57
3418	1469252	12.64	0.47	982B 4H-5 60-62
3423	1473084	13.16	0.49	982B 4H-5 65-67
3428	1476924	15.06	0.55	982B 4H-5 70-72
3438	1484610	16.24	0.59	982B 4H-5 80-82
3443	1488454	16.17	0.59	982B 4H-5 85-87
3448	1492300	16.53	0.6	982B 4H-5 90-92
3453	1496030	15.98	0.58	982B 4H-5 95-97
3458	1499452	15.6	0.57	982B 4H-5 100-102
3463	1502596	15.82	0.58	982B 4H-5 105-107
3468	1505554	14.81	0.54	982B 4H-5 110-112
3473	1508438	15.55	0.57	982B 4H-5 115-117
3478	1511318	14.89	0.55	982B 4H-5 120-122
3483	1514180	14.93	0.55	982B 4H-5 125-127
3488	1516712	14.7	0.54	982B 4H-5 130-132
3493	1519020	16.35	0.59	982B 4H-5 135-137
3503	1523632	16.37	0.6	982B 4H-5 145-147
3508	1525940	15.29	0.56	982B 4H-6 0-2
3513	1528240	13.88	0.51	982B 4H-6 5-7
3518	1530546	14.74	0.54	982B 4H-6 10-12
3523	1532856	11.45	0.43	982B 4H-6 15-17
3528	1535163	12.27	0.46	982B 4H-6 20-22
3533	1537468	10.32	0.39	982B 4H-6 25-27
3538	1539776	12.45	0.46	982B 4H-6 30-32
3543	1542203	14.73	0.54	982B 4H-6 35-37
3556	1549166	9.94	0.38	982C 5H-1 0-2
3561	1552048	12.02	0.45	982C 5H-1 5-7
3566	1554936	11.97	0.45	982C 5H-1 10-12
3571	1557818	11.9	0.44	982C 5H-1 15-17
3576	1560706	13.38	0.49	982C 5H-1 20-22
3581	1563583	13.83	0.51	982C 5H-1 25-27
3586	1566458	14.03	0.52	982C 5H-1 30-32
3591	1569338	13.93	0.51	982C 5H-1 35-37
3598	1573375	14.51	0.53	982C 5H-1 40-42
3601	1575106	13.5	0.5	982C 5H-1 45-47
3606	1577988	12.21	0.45	982C 5H-1 50-52
3611	1580874	11.45	0.43	982C 5H-1 55-57
3616	1583758	10.65	0.4	982C 5H-1 60-62
3621	1586644	10.61	0.4	982C 5H-1 65-67
3626	1589528	10.03	0.38	982C 5H-1 70-72
3631	1592411	10.53	0.4	982C 5H-1 75-77
3636	1595296	9.96	0.38	982C 5H-1 80-82
3641	1598178	12.75	0.47	982C 5H-1 85-87
3651	1603316	15.6	0.57	982C 5H-1 95-97
3656	1605626	14.37	0.53	982C 5H-1 100-102
3661	1607930	15.02	0.55	982C 5H-1 105-107
3666	1610242	14.71	0.54	982C 5H-1 110-112
3671	1612550	13.64	0.5	982C 5H-1 115-117
3676	1614850	12.05	0.45	982C 5H-1 120-122
3681	1617156	11.46	0.43	982C 5H-1 125-127
