# NOAA Paleoclimatology Program - Paleocean Site Data
# o806b-mm-tab.txt
# Complete Data
# File Created: 19-Mar-2009
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Martin Medina-Elizalde
# Core/Site:      ODP806B
# Latitude:       0.19.04N	( 0.31778)
# Longitude:      159.21.25E	( 159.3569)
# Water Depth(m): 2520
#
# Publications:
#   Medina-Elizalde, M., D.W. Lea, and M.S. Fantle. 2008. Implications of seawater
#     Mg/Ca variability for Plio-Pleistocene tropical climate reconstruction. Earth
#     and Planetary Science Letters, 269(3-4), 585-595.
#------------------
#
# Description & Notes:
#   Plio-Pleistocene Seawater Mg/Ca Variability Data and SST reconstruction
#   All Mg/Ca data from Wara et al., 2005, Science
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             Mg/Ca-g.sac   Magnesium/Calcium ratio (Globigerinoides sacculifer) (mmol/mol)
#             sst-mg/ca     Sea surface temperature from Mg/Ca
#             sst-mg/ca.adj Sea surface temperature from Mg/Ca adjusted for Mg/Ca variation
#
# CORE: ODP806B
depth	yrBP 	Mg/Ca-g.sac	sst-mg/ca	sst-mg/ca.adj	
-999	4560000	3.5	27.874	30.732	
-999	4572000	3.507	27.897	30.727	
-999	4584000	3.593	28.165	30.968	
-999	4596000	3.512	27.914	30.689	
-999	4608000	3.7	28.491	31.24	
-999	4620000	3.75	28.641	31.361	
-999	4632000	2.9	25.785	28.477	
-999	4644000	3.633	28.289	30.955	
-999	4656000	3.8	28.788	31.425	
-999	4668000	3.738	28.604	31.213	
-999	4680000	3.8	28.788	31.369	
-999	4692000	3.589	28.153	30.707	
-999	4704000	3	26.161	28.687	
-999	4716000	3.32	27.287	29.785	
-999	4728000	3.4	27.552	30.021	
-999	4740000	3.367	27.442	29.884	
-999	4752000	3.59	28.156	30.57	
-999	4764000	3.35	27.387	29.777	
-999	4776000	3.6	28.187	30.552	
-999	4788000	3	26.161	28.502	
-999	4800000	3.4	27.552	29.869	
-999	4812000	3.5	27.874	30.166	
-999	4824000	3.433	27.66	29.928	
-999	4836000	3.1	26.526	28.769	
-999	4848000	3.4	27.552	29.771	
-999	4860000	3.3	27.22	29.415	
-999	4872000	3.383	27.497	29.667	
-999	4884000	3.217	26.936	29.081	
-999	4896000	3.409	27.582	29.702	
-999	4908000	3.467	27.768	29.863	
-999	4920000	3.318	27.281	29.352	
-999	4932000	3.4	27.552	29.598	
-999	4944000	3.325	27.304	29.325	
-999	4956000	3.155	26.719	28.716	
-999	4968000	3.267	27.107	29.079	
-999	4980000	3.091	26.493	28.439	
-999	4992000	3.108	26.555	28.477	
-999	5004000	3.445	27.7	29.6	
-999	5016000	3.55	28.032	29.916	
-999	5028000	3.5	27.874	29.743	
-999	5040000	3.618	28.243	30.096	
-999	5052000	3.683	28.441	30.278	
-999	5064000	3.664	28.382	30.203	
-999	5076000	3.567	28.084	29.889	
-999	5088000	3.433	27.66	29.45	
-999	5100000	3.327	27.312	29.085	
-999	5112000	3.45	27.714	29.472	
-999	5124000	3.582	28.131	29.872	
