# NOAA Paleoclimatology Program - Paleocean Site Data
# odp1020_sytr-tab.txt
# SYNTRACE data only
# File Created: 23-Apr-2009
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Timothy D. Herbert
# Core/Site:      ODP1020
# Latitude:       41.00.03N	( 41.00083)
# Longitude:      126.26.01W	( -126.4336)
# Water Depth(m): 3042
#
# Publications:
#   Herbert, T.D., J.D. Schuffert, D. Andreasen, L. Heusser, M. Lyle, A. Mix,  A.C.
#     Ravelo, L.D. Stott, and J.C. Herguera, 2001, Collapse of the California current
#     during glacial maxima linked to climate change on land, Science v. 293: p71-76.
#   Herbert, T.D., J.D. Schuffert, D. Thomas, K. Lange, A. Weinheimer, and J.-C.
#     Herguera, 1998, Depth and seasonality of alkenone production along the California
#     margin inferred from a core-top transect, Paleoceanography, v. 13, p. 263-271.
#   Heusser, L.E., M. Lyle and A.C. Mix. 2000. Vegetation and climate of the northwest
#     coast of North America during the last 500 k.y.: High resolution pollen evidence
#     from the northern California margin, In Lyle, M., I. Koizumi, C. Richter, and
#     T.C. Moore Jr
#------------------
#
# Description & Notes:
#   California Current Reconstruction from Benthic Isotopes and Alkenone Temperatures
#   Isotope Data analytical error is ~0.1 per mil. The Uk'37 data have an analytical
#   precision equal to +- 0.15 Degrees Celsius. The age model comes from tuning benthic
#   delta 18O to an orbital age model.
#
# Variables:
#             depth         Depth (cm)
#             calyrBP       calendar years B.P. (B.P. = 1950)
#             sst-uk37      Sea Surface Temperature from Uk'37
#             uk37          Alkenone saturation index
#
# CORE: ODP1020
depth	calyrBP 	sst-uk37	uk37	notes
6154	591978.8	8.691	0.334	1020C 7H-4 50
6179	594523	8.807	0.338	1020C 7H-4 75
6204	597067.3	11.247	0.421	1020C 7H-4 100
6229	599611.5	8.044	0.312	1020C 7H-4 125
6254	602155.8	7.34	0.289	1020C 7H-5 0
6279	604700	8.569	0.33	1020C 7H-5 25
6304	607244.2	9.245	0.353	1020C 7H-5 50
6329	609788.5	9.623	0.366	1020C 7H-5 75
6354	612332.7	8.627	0.332	1020C 7H-5 100
6379	614877	11.43	0.428	1020C 7H-5 125
6404	617146.1	11.458	0.429	1020C 7H-6 0
6429	619117.1	11.129	0.417	1020C 7H-6 25
6454	621088.2	8.939	0.343	1020C 7H-6 50
6479	623059.2	8.312	0.322	1020C 7H-6 75
6504	625030.3	8.477	0.327	1020C 7H-6 100
6529	627001.3	9.372	0.358	1020C 7H-6 125
6549	628578.2	9.105	0.349	1020C 7H-6 144
6564	629760.8	8.834	0.339	1020D 7H-3 0
6589	631731.8	7.695	0.301	1020D 7H-3 25
6614	633702.9	7.771	0.303	1020D 7H-3 50
6639	635673.9	8.257	0.32	1020D 7H-3 75
6664	637645	8.763	0.337	1020D 7H-3 99
6689	639616	9.068	0.347	1020D 7H-3 125
6690	639694.9	9.148	0.35	1020C 8H-1 125
6715	641665.9	8.766	0.337	1020C 8H-2 0
6740	643637	9.248	0.353	1020C 8H-2 25
6765	645608	8.952	0.343	1020C 8H-2 50
6790	647579.1	9.266	0.354	1020C 8H-2 75
6815	649550.1	7.765	0.303	1020C 8H-2 99
6840	651521.2	8.128	0.315	1020C 8H-2 125
6865	653492.2	9.617	0.366	1020C 8H-3 0
6890	655463.3	10.125	0.383	1020C 8H-3 25
6915	657434.3	7.949	0.309	1020C 8H-3 50
6940	659405.3	7.985	0.311	1020C 8H-3 75
6965	661376.4	9.487	0.362	1020C 8H-3 100
6990	663347.4	8.031	0.312	1020C 8H-3 125
7015	665318.5	8.497	0.328	1020C 8H-4 0
7040	667289.5	10.911	0.41	1020C 8H-4 25
7065	669260.6	8.239	0.319	1020C 8H-4 50
7090	671231.6	10.953	0.411	1020C 8H-4 75
7115	673202.7	7.881	0.307	1020C 8H-4 100
7140	675173.7	10.687	0.402	1020C 8H-4 125
7165	677144.8	10.549	0.398	1020C 8H-5 0
7190	679115.8	11.634	0.435	1020C 8H-5 25
7215	681086.9	11.926	0.444	1020C 8H-5 50
7240	683057.9	12.76	0.473	1020C 8H-5 75
7265	685029	11.679	0.436	1020C 8H-5 100
7290	687000	12.527	0.465	1020C 8H-5 125
7315	690676.5	13.629	0.502	1020C 8H-6 0
7340	694352.9	12.318	0.458	1020C 8H-6 25
7365	698029.4	10.721	0.404	1020C 8H-6 50
7390	701705.9	9.179	0.351	1020C 8H-6 75
7415	705382.4	8.887	0.341	1020C 8H-6 100
7440	709058.8	9.153	0.35	1020C 8H-6 125
7465	712735.3	10.556	0.398	1020C 8H-7 0
7490	716411.8	11.3	0.423	1020C 8H-7 25
7506	718764.7	11.708	0.437	1020D 8H-3 0
7515	720088.2	11.887	0.443	1020C 8H-7 50
7531	722441.2	10.944	0.411	1020D 8H-3 25
7556	726117.6	11.21	0.42	1020D 8H-3 50
7581	729794.1	11.533	0.431	1020D 8H-3 75
7605	733323.5	11.414	0.427	1020D 8H-3 99
7631	737091.3	11.198	0.42	1020D 8H-3 125
7651	738916.3	11.017	0.414	1020D 8H-3 145
7652	739007.6	11.392	0.426	1020C 9H-1 75
7677	741289	11.84	0.442	1020C 9H-1 100
7702	743570.3	8.643	0.333	1020C 9H-1 125
7727	745851.7	9.739	0.37	1020C 9H-2 0
7752	748133.1	9.243	0.353	1020C 9H-2 25
7777	750414.4	9.405	0.359	1020C 9H-2 50
7802	752695.8	9.922	0.376	1020C 9H-2 75
7827	754977.2	9.617	0.366	1020C 9H-2 100
7852	757258.6	9.945	0.377	1020C 9H-2 125
7877	759539.9	9.767	0.371	1020C 9H-3 0
7902	761821.3	10.164	0.385	1020C 9H-3 25
7927	764102.7	11.145	0.418	1020C 9H-3 50
7952	766384	8.929	0.343	1020C 9H-3 75
7977	768665.4	9.592	0.365	1020C 9H-3 100
8002	770946.8	11.137	0.418	1020C 9H-3 125
8027	773228.1	9.547	0.364	1020C 9H-4 0
8052	775509.5	11.911	0.444	1020C 9H-4 25
8077	777790.9	11.254	0.422	1020C 9H-4 50
8102	780072.2	12.126	0.451	1020C 9H-4 75
8127	782353.6	10.543	0.397	1020C 9H-4 100
8152	784635	12.001	0.447	1020C 9H-4 125
8177	787573.5	8.676	0.334	1020C 9H-5 0
8202	790637.3	6.703	0.267	1020C 9H-5 25
8227	793701	7.081	0.28	1020C 9H-5 50
8252	796764.7	7.497	0.294	1020C 9H-5 75
8277	799828.4	6.58	0.263	1020C 9H-5 100
8302	802892.2	7.384	0.29	1020C 9H-5 125
8327	805955.9	6.973	0.276	1020C 9H-6 0
8352	809019.6	8.813	0.339	1020C 9H-6 25
8377	811394	8.294	0.321	1020C 9H-6 50
